League,Team,Playoffs,RankPlayoffs,RankSeason
AL,ANA,0.25,2.5,4.5
AL,BAL,0.23404255319148937,2.272727272727273,2.1818181818181817
AL,BOS,0.2765957446808511,2.6923076923076925,3.3846153846153846
AL,CAL,0.10714285714285714,3.0,3.3333333333333335
AL,CHW,0.10638297872340426,3.0,3.0
AL,CLE,0.1276595744680851,3.3333333333333335,4.166666666666667
AL,DET,0.1276595744680851,2.0,2.6666666666666665
AL,KCA,0.0,,
AL,KCR,0.15,2.5,3.0
AL,LAA,0.36363636363636365,3.5,2.0
AL,MIL,0.041666666666666664,2.0,1.0
AL,MIN,0.23404255319148937,3.0,4.090909090909091
AL,NYY,0.48936170212765956,2.347826086956522,2.130434782608696
AL,OAK,0.34146341463414637,2.7857142857142856,2.2857142857142856
AL,SEA,0.09090909090909091,3.3333333333333335,3.3333333333333335
AL,SEP,0.0,,
AL,TBD,0.0,,
AL,TBR,0.6,3.3333333333333335,3.3333333333333335
AL,TEX,0.16216216216216217,3.5,5.5
AL,TOR,0.15151515151515152,2.2,3.0
AL,WSA,0.0,,
NL,ARI,0.3333333333333333,3.2,3.8
NL,ATL,0.3953488372093023,3.235294117647059,2.8823529411764706
NL,CHC,0.1276595744680851,3.5,4.0
NL,CIN,0.1702127659574468,2.375,2.375
NL,COL,0.1111111111111111,3.0,4.0
NL,FLA,0.11764705882352941,1.0,4.5
NL,HOU,0.1702127659574468,3.375,4.25
NL,LAD,0.2978723404255319,2.5,3.357142857142857
NL,MIA,0.0,,
NL,MIL,0.13333333333333333,3.5,4.0
NL,MLN,0.0,,
NL,MON,0.0,,
NL,NYM,0.14893617021276595,2.142857142857143,2.4285714285714284
NL,PHI,0.23404255319148937,2.5454545454545454,2.909090909090909
NL,PIT,0.1702127659574468,2.5,2.625
NL,SDP,0.125,3.2,4.4
NL,SFG,0.2127659574468085,2.6,3.3
NL,STL,0.3404255319148936,2.25,3.4375
NL,WSN,0.125,4.0,1.0
